,cow_name,side_length_shoulderbone,side_f_girth,side_r_girth,rear_width,cow_pixels,sticker_pixels,weight
33,146_b4-3_150_F,1020.4298114030186,472.27110858065413,958.0109602713321,260.1922366251537,701615,9708,150
34,120_b4-4_142_F,1056.528750200391,503.09939375833085,885.1045136027723,327.8795510549568,785982,10538,142
35,435_b4-2_159_F,934.011777227675,408.0784238354192,937.2352959636123,284.01584462842914,618936,7169,159
36,477_b4-2_214_F,1041.9659303451338,495.19794022188745,997.0160480152764,380.13155617496426,838821,9072,214
37,8_b4-3_103_M,944.5136314527176,447.02796333115447,973.5938578277905,323.03869737231173,666737,9301,103
38,316_b4-2_183_F,911.290294033685,432.001157405857,871.4499411899687,436.2934792086629,673402,8005,183
39,159_b4-2_181_F,1051.221194611296,414.0193232205473,924.0021644996293,277.2183255125822,722585,9865,181
40,158_b4-1_141_F,997.7379415457748,442.0282796383055,836.2392002292167,315.12854520020875,682519,8777,141
41,274_b4-4_170_F,982.8122913354309,447.87609893808803,940.1042495383158,293.00170647967224,629649,7175,170
42,396_b4-2_176_F,1058.8942345673622,482.26548705044195,947.103479034894,340.14702703389895,774199,8362,176
43,417_b4-3_200_F,993.5416448242116,474.08543533839975,895.4378817092786,380.2223033963158,708464,7780,200
44,132_b4-2_186_F,1062.1911315766104,510.6123774449656,956.0334722173696,353.0509878190401,845625,9307,186
45,132_b4-2_186_F,1062.1911315766104,510.6123774449656,956.0334722173696,353.0509878190401,845625,9307,186
46,42_b4-4_117_F,1036.3030444807157,496.17033365569125,1060.5776727802636,292.0154105522515,766100,15008,117
47,18_b4-1_91_F,1050.1676056706376,500.2889165272403,1050.1904589168576,303.014851121195,831184,13371,91
48,128_b4-1_131_F,1058.821986926981,478.1401468189008,1000.0244996998823,374.03342096662965,789027,10187,131
49,163_b4-4_149_F,964.1421057084895,444.3253312607779,915.13988001835,289.0155705148081,651840,8458,149
50,116_b4-2_170_F,940.8809701550988,430.01860424869994,782.0057544545308,280.0071427660373,596240,8327,170
51,386_b4-1_195_F,1052.1216659683423,492.0254058481127,930.5681060513518,374.0013368960063,787283,8446,195
52,288_b4-4_172_F,1041.5411657731056,480.0510389531513,1038.4334355171736,274.00182481144174,794482,8387,172
53,288_b4-4_172_F,1041.5411657731056,480.0510389531513,1038.4334355171736,274.00182481144174,794482,8387,172
54,116_b4-4_140_M,861.3228198532767,426.07511074926686,852.1502214985337,275.0,613532,7104,140
55,179_b4-1_148_F,1060.5592864144842,516.0561984900481,1005.1611811048017,333.0015014981164,824048,10336,148
